Ticker,MarketCap,PE,ROE,DebtToEquity,Beta,DividendYield
EMN,7309083648.0,10.626044,0.12116,89.235,1.247,5.28
DPZ,14730436608.0,25.374268,,,1.145,1.6
DVA,8432710144.0,12.171311,0.61618,953.093,0.994,
DRI,21631852544.0,19.885317,0.50411,361.727,0.656,3.23
ZTS,54613504000.0,20.745792,0.49868,135.05,0.971,1.72
ZBH,18016686080.0,22.558311,0.06421,64.523,0.612,1.06
YUM,41933905920.0,29.383268,,,0.668,1.88
XYL,33501343744.0,35.463917,0.08555,18.253,1.174,1.16
XEL,43614228480.0,22.47866,0.09449001,167.891,0.453,3.09
WYNN,13105202176.0,27.946783,,,1.092,0.79
WTW,32167426048.0,15.800671,0.27633,75.685,0.635,1.12
WMB,71331389440.0,30.26425,0.16902,188.338,0.637,3.42
WY,16796776448.0,50.608696,0.03419,58.233,1.088,3.61
WDC,59843526656.0,24.553446,0.29707,,1.886,0.29
WELL,130676858880.0,131.31033,0.0275,46.211,0.84,1.55
WFC,295325237248.0,15.187809,0.115200005,,1.108,1.95
WEC,33986742272.0,19.787878,0.12807,151.448,0.556,3.65
WAT,22535684096.0,34.855434,0.32987,66.042,1.163,
WM,88187592704.0,34.47244,0.29328,245.399,0.586,1.51
WMT,920226496512.0,40.356644,0.23661,66.747,0.641,0.81
WBA,,,,,,
WAB,36538679296.0,31.065405,0.11147001,51.131,0.994,0.47
GWW,48888381440.0,28.653772,0.46719003,68.67,1.116,0.88
WRB,26054250496.0,14.40336,0.20887,31.481,0.375,0.53
VMC,38583545856.0,34.475796,0.13520999,56.296,1.064,0.67
V,666026770432.0,33.7681,0.52068,68.807,0.822,0.78
VRTX,116647493632.0,32.062016,0.22307,10.594,0.321,
VZ,171819335680.0,8.6887,0.19875,164.799,0.32,6.77
VRSK,30407567360.0,33.43164,2.68133,1295.046,0.814,0.83
VRSN,22628231168.0,28.234266,,,0.778,1.27
VTR,36756594688.0,147.64151,0.021559998,100.11,0.794,2.45
VLO,50580320256.0,33.920834,0.052389998,39.561,0.759,2.78
UHS,14168518656.0,10.591817,0.20028,70.037,1.274,0.36
UNH,302731264000.0,17.4244,0.17476,75.734,0.432,2.65
URI,52674871296.0,21.094563,0.28781,169.022,1.678,0.87
UPS,84931878912.0,15.472953,0.33618,184.32,1.094,6.55
UAL,36414050304.0,11.270542,0.25588,218.897,1.304,
UNP,139914788864.0,20.040781,0.41619,189.829,0.995,2.34
ULTA,26421903360.0,22.620731,0.47967,97.784,0.866,
UDR,13350301696.0,80.590904,0.03649,144.858,0.708,4.85
USB,83209453568.0,12.235699,0.1172,,1.109,3.82
TSN,20544217088.0,43.751877,0.0276,53.19,0.463,3.51
TRMB,19156510720.0,55.136986,0.06131,24.038,1.601,
TDG,71596974080.0,39.68051,,,0.92,
TT,88107180032.0,30.295332,0.3721,55.305,1.194,0.95
TSCO,27815163904.0,25.429953,0.45459,222.382,0.719,1.75
TJX,172605669376.0,34.236202,0.58396,140.977,0.762,1.1
TMO,214213705728.0,32.900173,0.13116999,69.75,0.902,0.3
DIS,200685371392.0,16.294891,0.12203,39.632,1.497,1.34
TRV,65201008640.0,11.401968,0.19809,29.318,0.541,1.52
SO,94375698432.0,21.320896,0.11429,192.679,0.444,3.45
SHW,81748910080.0,32.049854,0.59939,325.153,1.241,0.96
MOS,7446388224.0,6.07772,0.101169996,37.134,0.948,3.75
KR,41152315392.0,54.95575,0.07997,357.991,0.577,2.25
KHC,29212618752.0,,-0.09693,50.968,0.073,6.48
SJM,10637424640.0,,-0.17438,131.357,0.21,4.41
IPG,8999164928.0,16.828766,0.14948,111.662,1.011,0.0537
HSY,38154018816.0,28.08209,0.31013,125.764,0.177,2.91
HIG,38424092672.0,11.274141,0.20069,23.675,0.629,1.74
EL,37618008064.0,,-0.20727,242.211,1.175,1.34
COO,16111475712.0,43.3369,0.045939997,33.785,1.049,
CI,73756106752.0,12.222664,0.15538,81.021,0.263,2.19
SCHW,174261059584.0,22.482435,0.17046,99.789,0.956,1.13
ALL,55206998016.0,6.79345,0.34469002,29.43,0.249,1.91
TXT,15384463360.0,18.89059,0.11465,55.332,1.013,0.09
TXN,161426391040.0,32.34244,0.29757,84.477,0.989,3.2
TSLA,1629252354048.0,333.2517,0.06791,17.082,1.878,
TER,30588250112.0,69.92364,0.15767999,9.89,1.848,0.25
TFX,5518555648.0,,-0.07897,75.679,0.951,1.09
TEL,66838188032.0,36.895935,0.14618,50.102,1.246,1.25
TGT,44381163520.0,11.838788,0.25094998,132.062,1.125,4.67
TRGP,37961994240.0,23.742935,0.4985,615.121,0.891,2.27
TPR,25480306688.0,94.684616,0.16053,1051.139,1.665,1.3
TMUS,222832967680.0,19.075144,0.19034,200.622,0.436,2.06
TROW,22832807936.0,11.332606,0.1867,4.09,1.538,4.89
SYY,35972042752.0,20.13941,0.8346,690.715,0.62,2.88
SNPS,88298881024.0,57.486347,0.0716,50.459,1.154,
SYF,31025876992.0,9.1436405,0.21636999,,1.451,1.44
SYK,134494576640.0,46.275,0.14036,78.646,0.895,1.0
STLD,24896712704.0,22.431036,0.12550999,42.166,1.471,1.18
STT,36071862272.0,13.497877,0.111499995,,1.453,2.64
SBUX,96744472576.0,52.19632,,,0.977,2.91
SWK,11275625472.0,25.103449,0.04918,78.538,1.196,4.56
LUV,22147164160.0,66.93651,0.04168,67.618,1.167,1.71
SNA,18175283200.0,18.280693,0.18330999,22.27,0.776,2.8
SWKS,9898393600.0,21.435064,0.0789,20.898,1.309,4.3
SPG,68851597312.0,26.60787,0.82455003,884.863,1.394,4.82
NOW,162221555712.0,94.338165,0.16813,21.255,0.972,
SRE,57377234944.0,27.049232,0.0677,81.287,0.733,2.93
STX,62775476224.0,37.034702,,,1.614,1.03
SLB,56186466304.0,14.634242,0.15182,47.459,0.732,3.03
SBAC,20244838400.0,23.926952,,,0.861,2.34
CRM,242674319360.0,34.03338,0.12184,19.385,1.253,0.65
SPGI,152607260672.0,36.353455,0.119940005,31.784,1.188,0.77
RCL,76771426304.0,18.944147,0.46677,203.878,1.914,1.24
ROST,59321270272.0,28.499998,0.37425,88.181,1.038,0.89
ROP,47767339008.0,30.584423,0.081549995,47.288,0.938,0.82
ROL,28609212416.0,55.57009,0.36208,59.534,0.785,1.23
ROK,45095186432.0,52.360313,0.20282,98.275,1.499,1.38
RHI,2825282816.0,18.032469,0.11270001,18.722,0.834,8.5
RVTY,11174306816.0,49.623707,0.0304,45.676,1.061,0.29
RMD,36103303168.0,25.316273,0.25413,13.826,0.867,0.97
RSG,66817302528.0,31.846725,0.18249,113.763,0.55,1.17
RF,24547403776.0,12.118943,0.11401,,1.049,3.85
REGN,79104786432.0,17.88974,0.15188,8.739,0.368,0.47
REG,12357281792.0,30.80734,0.0602,73.101,0.94,4.5
O,52839387136.0,53.68224,0.02488,73.977,0.809,5.61
RJF,32292229120.0,15.724272,0.17666,48.456,1.008,1.33
RL,22395201536.0,27.315826,0.34005,111.231,1.535,0.99
DGX,19978377216.0,20.969482,0.14353,86.524,0.616,1.79
PWR,65385824256.0,64.96148,0.13369,71.612,1.142,0.1
QCOM,190033494016.0,35.224,0.2334,73.767,1.214,2.02
QRVO,8021079552.0,37.476192,0.06296,44.138,1.367,
PHM,24541843456.0,9.597994,0.21569,16.939,1.314,0.84
PSA,46932848640.0,27.775702,0.19933,106.758,0.986,4.49
PEG,39897378816.0,19.213943,0.12579,138.209,0.604,3.15
PTC,20877471744.0,28.664474,0.2085,35.802,1.03,
